target_id,regression_order,role,quantity,value,unit,species,solvent,T_K,P_bar,composition_basis,composition_value,basis,source_classification,source_id,source_locator,source_row,underlying_reference,extraction,source_sha256,uncertainty_value,uncertainty_unit,uncertainty_meaning,tracer_status
figiel2025-s5-Nap-lit-03,a,underlying_literature_value,single_ion_solvation_gibbs_energy,-353.1,kJ/mol,Na+,water,298.15,1,ion mole-fraction limit,x_ion -> 0,x-treatment; gas at 1 bar to hypothetical dilute-ideal solution at 1 bar; negative is favorable gas-to-solution transfer,table-derived,figiel-2025-official-si,"SI Table S5, PDF page 9 of 10",Na+ literature value 3,SI ref 12,Manual transcription from the official SI PDF; model-output column excluded.,005b38ed566ec3c09b87e1ca3a9dd6eeafc9ba75e1a30b9322291d770bb93895,,,No uncertainty is reported in SI Table S5.,first_tracer_support
figiel2025-s5-Nap-lit-04,a,underlying_literature_value,single_ion_solvation_gibbs_energy,-347.1,kJ/mol,Na+,water,298.15,1,ion mole-fraction limit,x_ion -> 0,x-treatment; gas at 1 bar to hypothetical dilute-ideal solution at 1 bar; negative is favorable gas-to-solution transfer,table-derived,figiel-2025-official-si,"SI Table S5, PDF page 9 of 10",Na+ literature value 4,SI ref 13,Manual transcription from the official SI PDF; model-output column excluded.,005b38ed566ec3c09b87e1ca3a9dd6eeafc9ba75e1a30b9322291d770bb93895,,,No uncertainty is reported in SI Table S5.,first_tracer_support
figiel2025-s5-Nap-lit-05,a,underlying_literature_value,single_ion_solvation_gibbs_energy,-377.6,kJ/mol,Na+,water,298.15,1,ion mole-fraction limit,x_ion -> 0,x-treatment; gas at 1 bar to hypothetical dilute-ideal solution at 1 bar; negative is favorable gas-to-solution transfer,table-derived,figiel-2025-official-si,"SI Table S5, PDF page 9 of 10",Na+ literature value 5,SI ref 14,Manual transcription from the official SI PDF; model-output column excluded.,005b38ed566ec3c09b87e1ca3a9dd6eeafc9ba75e1a30b9322291d770bb93895,,,No uncertainty is reported in SI Table S5.,first_tracer_support
figiel2025-s5-Nap-reported-average,a,reported_average_target,single_ion_solvation_gibbs_energy,-381.1,kJ/mol,Na+,water,298.15,1,ion mole-fraction limit,x_ion -> 0,x-treatment; gas at 1 bar to hypothetical dilute-ideal solution at 1 bar; negative is favorable gas-to-solution transfer,table-derived,figiel-2025-official-si,"SI Table S5, PDF page 9 of 10, reported Delta G_i infinity,lit column",Na+ reported average,Figiel-reported average of the listed SI values; H+ uses SI ref 9 only,Transcribed as reported; retained separately and not replaced by a locally recomputed mean.,005b38ed566ec3c09b87e1ca3a9dd6eeafc9ba75e1a30b9322291d770bb93895,,,No uncertainty is reported for the SI Table S5 average.,first_tracer_support
figiel2025-s5-Kp-lit-01,a,underlying_literature_value,single_ion_solvation_gibbs_energy,-342.0,kJ/mol,K+,water,298.15,1,ion mole-fraction limit,x_ion -> 0,x-treatment; gas at 1 bar to hypothetical dilute-ideal solution at 1 bar; negative is favorable gas-to-solution transfer,table-derived,figiel-2025-official-si,"SI Table S5, PDF page 9 of 10",K+ literature value 1,SI ref 9,Manual transcription from the official SI PDF; model-output column excluded.,005b38ed566ec3c09b87e1ca3a9dd6eeafc9ba75e1a30b9322291d770bb93895,,,No uncertainty is reported in SI Table S5.,first_tracer_support
figiel2025-s5-Kp-lit-02,a,underlying_literature_value,single_ion_solvation_gibbs_energy,-342.0,kJ/mol,K+,water,298.15,1,ion mole-fraction limit,x_ion -> 0,x-treatment; gas at 1 bar to hypothetical dilute-ideal solution at 1 bar; negative is favorable gas-to-solution transfer,table-derived,figiel-2025-official-si,"SI Table S5, PDF page 9 of 10",K+ literature value 2,SI ref 2,Manual transcription from the official SI PDF; model-output column excluded.,005b38ed566ec3c09b87e1ca3a9dd6eeafc9ba75e1a30b9322291d770bb93895,,,No uncertainty is reported in SI Table S5.,first_tracer_support
figiel2025-s5-Kp-lit-03,a,underlying_literature_value,single_ion_solvation_gibbs_energy,-280.1,kJ/mol,K+,water,298.15,1,ion mole-fraction limit,x_ion -> 0,x-treatment; gas at 1 bar to hypothetical dilute-ideal solution at 1 bar; negative is favorable gas-to-solution transfer,table-derived,figiel-2025-official-si,"SI Table S5, PDF page 9 of 10",K+ literature value 3,SI ref 12,Manual transcription from the official SI PDF; model-output column excluded.,005b38ed566ec3c09b87e1ca3a9dd6eeafc9ba75e1a30b9322291d770bb93895,,,No uncertainty is reported in SI Table S5.,first_tracer_support
figiel2025-s5-Kp-lit-04,a,underlying_literature_value,single_ion_solvation_gibbs_energy,-277.1,kJ/mol,K+,water,298.15,1,ion mole-fraction limit,x_ion -> 0,x-treatment; gas at 1 bar to hypothetical dilute-ideal solution at 1 bar; negative is favorable gas-to-solution transfer,table-derived,figiel-2025-official-si,"SI Table S5, PDF page 9 of 10",K+ literature value 4,SI ref 13,Manual transcription from the official SI PDF; model-output column excluded.,005b38ed566ec3c09b87e1ca3a9dd6eeafc9ba75e1a30b9322291d770bb93895,,,No uncertainty is reported in SI Table S5.,first_tracer_support
figiel2025-s5-Kp-lit-05,a,underlying_literature_value,single_ion_solvation_gibbs_energy,-304.0,kJ/mol,K+,water,298.15,1,ion mole-fraction limit,x_ion -> 0,x-treatment; gas at 1 bar to hypothetical dilute-ideal solution at 1 bar; negative is favorable gas-to-solution transfer,table-derived,figiel-2025-official-si,"SI Table S5, PDF page 9 of 10",K+ literature value 5,SI ref 14,Manual transcription from the official SI PDF; model-output column excluded.,005b38ed566ec3c09b87e1ca3a9dd6eeafc9ba75e1a30b9322291d770bb93895,,,No uncertainty is reported in SI Table S5.,first_tracer_support
figiel2025-s5-Kp-reported-average,a,reported_average_target,single_ion_solvation_gibbs_energy,-309.1,kJ/mol,K+,water,298.15,1,ion mole-fraction limit,x_ion -> 0,x-treatment; gas at 1 bar to hypothetical dilute-ideal solution at 1 bar; negative is favorable gas-to-solution transfer,table-derived,figiel-2025-official-si,"SI Table S5, PDF page 9 of 10, reported Delta G_i infinity,lit column",K+ reported average,Figiel-reported average of the listed SI values; H+ uses SI ref 9 only,Transcribed as reported; retained separately and not replaced by a locally recomputed mean.,005b38ed566ec3c09b87e1ca3a9dd6eeafc9ba75e1a30b9322291d770bb93895,,,No uncertainty is reported for the SI Table S5 average.,first_tracer_support
figiel2025-s5-Clm-lit-01,a,underlying_literature_value,single_ion_solvation_gibbs_energy,-294.2,kJ/mol,Cl-,water,298.15,1,ion mole-fraction limit,x_ion -> 0,x-treatment; gas at 1 bar to hypothetical dilute-ideal solution at 1 bar; negative is favorable gas-to-solution transfer,table-derived,figiel-2025-official-si,"SI Table S5, PDF page 9 of 10",Cl- literature value 1,SI ref 9,Manual transcription from the official SI PDF; model-output column excluded.,005b38ed566ec3c09b87e1ca3a9dd6eeafc9ba75e1a30b9322291d770bb93895,,,No uncertainty is reported in SI Table S5.,first_tracer_support
figiel2025-s5-Clm-lit-02,a,underlying_literature_value,single_ion_solvation_gibbs_energy,-294.0,kJ/mol,Cl-,water,298.15,1,ion mole-fraction limit,x_ion -> 0,x-treatment; gas at 1 bar to hypothetical dilute-ideal solution at 1 bar; negative is favorable gas-to-solution transfer,table-derived,figiel-2025-official-si,"SI Table S5, PDF page 9 of 10",Cl- literature value 2,SI ref 2,Manual transcription from the official SI PDF; model-output column excluded.,005b38ed566ec3c09b87e1ca3a9dd6eeafc9ba75e1a30b9322291d770bb93895,,,No uncertainty is reported in SI Table S5.,first_tracer_support
figiel2025-s5-Clm-lit-03,a,underlying_literature_value,single_ion_solvation_gibbs_energy,-294.2,kJ/mol,Cl-,water,298.15,1,ion mole-fraction limit,x_ion -> 0,x-treatment; gas at 1 bar to hypothetical dilute-ideal solution at 1 bar; negative is favorable gas-to-solution transfer,table-derived,figiel-2025-official-si,"SI Table S5, PDF page 9 of 10",Cl- literature value 3,SI ref 11,Manual transcription from the official SI PDF; model-output column excluded.,005b38ed566ec3c09b87e1ca3a9dd6eeafc9ba75e1a30b9322291d770bb93895,,,No uncertainty is reported in SI Table S5.,first_tracer_support
figiel2025-s5-Clm-lit-04,a,underlying_literature_value,single_ion_solvation_gibbs_energy,-355.1,kJ/mol,Cl-,water,298.15,1,ion mole-fraction limit,x_ion -> 0,x-treatment; gas at 1 bar to hypothetical dilute-ideal solution at 1 bar; negative is favorable gas-to-solution transfer,table-derived,figiel-2025-official-si,"SI Table S5, PDF page 9 of 10",Cl- literature value 4,SI ref 12,Manual transcription from the official SI PDF; model-output column excluded.,005b38ed566ec3c09b87e1ca3a9dd6eeafc9ba75e1a30b9322291d770bb93895,,,No uncertainty is reported in SI Table S5.,first_tracer_support
figiel2025-s5-Clm-lit-05,a,underlying_literature_value,single_ion_solvation_gibbs_energy,-322.1,kJ/mol,Cl-,water,298.15,1,ion mole-fraction limit,x_ion -> 0,x-treatment; gas at 1 bar to hypothetical dilute-ideal solution at 1 bar; negative is favorable gas-to-solution transfer,table-derived,figiel-2025-official-si,"SI Table S5, PDF page 9 of 10",Cl- literature value 5,SI ref 13,Manual transcription from the official SI PDF; model-output column excluded.,005b38ed566ec3c09b87e1ca3a9dd6eeafc9ba75e1a30b9322291d770bb93895,,,No uncertainty is reported in SI Table S5.,first_tracer_support
figiel2025-s5-Clm-lit-06,a,underlying_literature_value,single_ion_solvation_gibbs_energy,-329.7,kJ/mol,Cl-,water,298.15,1,ion mole-fraction limit,x_ion -> 0,x-treatment; gas at 1 bar to hypothetical dilute-ideal solution at 1 bar; negative is favorable gas-to-solution transfer,table-derived,figiel-2025-official-si,"SI Table S5, PDF page 9 of 10",Cl- literature value 6,SI ref 14,Manual transcription from the official SI PDF; model-output column excluded.,005b38ed566ec3c09b87e1ca3a9dd6eeafc9ba75e1a30b9322291d770bb93895,,,No uncertainty is reported in SI Table S5.,first_tracer_support
figiel2025-s5-Clm-reported-average,a,reported_average_target,single_ion_solvation_gibbs_energy,-314.9,kJ/mol,Cl-,water,298.15,1,ion mole-fraction limit,x_ion -> 0,x-treatment; gas at 1 bar to hypothetical dilute-ideal solution at 1 bar; negative is favorable gas-to-solution transfer,table-derived,figiel-2025-official-si,"SI Table S5, PDF page 9 of 10, reported Delta G_i infinity,lit column",Cl- reported average,Figiel-reported average of the listed SI values; H+ uses SI ref 9 only,Transcribed as reported; retained separately and not replaced by a locally recomputed mean.,005b38ed566ec3c09b87e1ca3a9dd6eeafc9ba75e1a30b9322291d770bb93895,,,No uncertainty is reported for the SI Table S5 average.,first_tracer_support
figiel2025-s5-Brm-lit-01,a,underlying_literature_value,single_ion_solvation_gibbs_energy,-267.4,kJ/mol,Br-,water,298.15,1,ion mole-fraction limit,x_ion -> 0,x-treatment; gas at 1 bar to hypothetical dilute-ideal solution at 1 bar; negative is favorable gas-to-solution transfer,table-derived,figiel-2025-official-si,"SI Table S5, PDF page 9 of 10",Br- literature value 1,SI ref 9,Manual transcription from the official SI PDF; model-output column excluded.,005b38ed566ec3c09b87e1ca3a9dd6eeafc9ba75e1a30b9322291d770bb93895,,,No uncertainty is reported in SI Table S5.,first_tracer_support
figiel2025-s5-Brm-lit-02,a,underlying_literature_value,single_ion_solvation_gibbs_energy,-268.0,kJ/mol,Br-,water,298.15,1,ion mole-fraction limit,x_ion -> 0,x-treatment; gas at 1 bar to hypothetical dilute-ideal solution at 1 bar; negative is favorable gas-to-solution transfer,table-derived,figiel-2025-official-si,"SI Table S5, PDF page 9 of 10",Br- literature value 2,SI ref 2,Manual transcription from the official SI PDF; model-output column excluded.,005b38ed566ec3c09b87e1ca3a9dd6eeafc9ba75e1a30b9322291d770bb93895,,,No uncertainty is reported in SI Table S5.,first_tracer_support
figiel2025-s5-Brm-lit-03,a,underlying_literature_value,single_ion_solvation_gibbs_energy,-269.1,kJ/mol,Br-,water,298.15,1,ion mole-fraction limit,x_ion -> 0,x-treatment; gas at 1 bar to hypothetical dilute-ideal solution at 1 bar; negative is favorable gas-to-solution transfer,table-derived,figiel-2025-official-si,"SI Table S5, PDF page 9 of 10",Br- literature value 3,SI ref 11,Manual transcription from the official SI PDF; model-output column excluded.,005b38ed566ec3c09b87e1ca3a9dd6eeafc9ba75e1a30b9322291d770bb93895,,,No uncertainty is reported in SI Table S5.,first_tracer_support
figiel2025-s5-Brm-lit-04,a,underlying_literature_value,single_ion_solvation_gibbs_energy,-328.1,kJ/mol,Br-,water,298.15,1,ion mole-fraction limit,x_ion -> 0,x-treatment; gas at 1 bar to hypothetical dilute-ideal solution at 1 bar; negative is favorable gas-to-solution transfer,table-derived,figiel-2025-official-si,"SI Table S5, PDF page 9 of 10",Br- literature value 4,SI ref 12,Manual transcription from the official SI PDF; model-output column excluded.,005b38ed566ec3c09b87e1ca3a9dd6eeafc9ba75e1a30b9322291d770bb93895,,,No uncertainty is reported in SI Table S5.,first_tracer_support
figiel2025-s5-Brm-lit-05,a,underlying_literature_value,single_ion_solvation_gibbs_energy,-297.1,kJ/mol,Br-,water,298.15,1,ion mole-fraction limit,x_ion -> 0,x-treatment; gas at 1 bar to hypothetical dilute-ideal solution at 1 bar; negative is favorable gas-to-solution transfer,table-derived,figiel-2025-official-si,"SI Table S5, PDF page 9 of 10",Br- literature value 5,SI ref 13,Manual transcription from the official SI PDF; model-output column excluded.,005b38ed566ec3c09b87e1ca3a9dd6eeafc9ba75e1a30b9322291d770bb93895,,,No uncertainty is reported in SI Table S5.,first_tracer_support
figiel2025-s5-Brm-lit-06,a,underlying_literature_value,single_ion_solvation_gibbs_energy,-315.9,kJ/mol,Br-,water,298.15,1,ion mole-fraction limit,x_ion -> 0,x-treatment; gas at 1 bar to hypothetical dilute-ideal solution at 1 bar; negative is favorable gas-to-solution transfer,table-derived,figiel-2025-official-si,"SI Table S5, PDF page 9 of 10",Br- literature value 6,SI ref 14,Manual transcription from the official SI PDF; model-output column excluded.,005b38ed566ec3c09b87e1ca3a9dd6eeafc9ba75e1a30b9322291d770bb93895,,,No uncertainty is reported in SI Table S5.,first_tracer_support
figiel2025-s5-Brm-reported-average,a,reported_average_target,single_ion_solvation_gibbs_energy,-290.9,kJ/mol,Br-,water,298.15,1,ion mole-fraction limit,x_ion -> 0,x-treatment; gas at 1 bar to hypothetical dilute-ideal solution at 1 bar; negative is favorable gas-to-solution transfer,table-derived,figiel-2025-official-si,"SI Table S5, PDF page 9 of 10, reported Delta G_i infinity,lit column",Br- reported average,Figiel-reported average of the listed SI values; H+ uses SI ref 9 only,Transcribed as reported; retained separately and not replaced by a locally recomputed mean.,005b38ed566ec3c09b87e1ca3a9dd6eeafc9ba75e1a30b9322291d770bb93895,,,No uncertainty is reported for the SI Table S5 average.,first_tracer_support
figiel2025-s5-Im-lit-01,a,underlying_literature_value,single_ion_solvation_gibbs_energy,-230.0,kJ/mol,I-,water,298.15,1,ion mole-fraction limit,x_ion -> 0,x-treatment; gas at 1 bar to hypothetical dilute-ideal solution at 1 bar; negative is favorable gas-to-solution transfer,table-derived,figiel-2025-official-si,"SI Table S5, PDF page 9 of 10",I- literature value 1,SI ref 9,Manual transcription from the official SI PDF; model-output column excluded.,005b38ed566ec3c09b87e1ca3a9dd6eeafc9ba75e1a30b9322291d770bb93895,,,No uncertainty is reported in SI Table S5.,later_capability_gate
figiel2025-s5-Im-lit-02,a,underlying_literature_value,single_ion_solvation_gibbs_energy,-233.0,kJ/mol,I-,water,298.15,1,ion mole-fraction limit,x_ion -> 0,x-treatment; gas at 1 bar to hypothetical dilute-ideal solution at 1 bar; negative is favorable gas-to-solution transfer,table-derived,figiel-2025-official-si,"SI Table S5, PDF page 9 of 10",I- literature value 2,SI ref 2,Manual transcription from the official SI PDF; model-output column excluded.,005b38ed566ec3c09b87e1ca3a9dd6eeafc9ba75e1a30b9322291d770bb93895,,,No uncertainty is reported in SI Table S5.,later_capability_gate
figiel2025-s5-Im-lit-03,a,underlying_literature_value,single_ion_solvation_gibbs_energy,-232.7,kJ/mol,I-,water,298.15,1,ion mole-fraction limit,x_ion -> 0,x-treatment; gas at 1 bar to hypothetical dilute-ideal solution at 1 bar; negative is favorable gas-to-solution transfer,table-derived,figiel-2025-official-si,"SI Table S5, PDF page 9 of 10",I- literature value 3,SI ref 11,Manual transcription from the official SI PDF; model-output column excluded.,005b38ed566ec3c09b87e1ca3a9dd6eeafc9ba75e1a30b9322291d770bb93895,,,No uncertainty is reported in SI Table S5.,later_capability_gate
figiel2025-s5-Im-lit-04,a,underlying_literature_value,single_ion_solvation_gibbs_energy,-293.1,kJ/mol,I-,water,298.15,1,ion mole-fraction limit,x_ion -> 0,x-treatment; gas at 1 bar to hypothetical dilute-ideal solution at 1 bar; negative is favorable gas-to-solution transfer,table-derived,figiel-2025-official-si,"SI Table S5, PDF page 9 of 10",I- literature value 4,SI ref 12,Manual transcription from the official SI PDF; model-output column excluded.,005b38ed566ec3c09b87e1ca3a9dd6eeafc9ba75e1a30b9322291d770bb93895,,,No uncertainty is reported in SI Table S5.,later_capability_gate
figiel2025-s5-Im-lit-05,a,underlying_literature_value,single_ion_solvation_gibbs_energy,-257.1,kJ/mol,I-,water,298.15,1,ion mole-fraction limit,x_ion -> 0,x-treatment; gas at 1 bar to hypothetical dilute-ideal solution at 1 bar; negative is favorable gas-to-solution transfer,table-derived,figiel-2025-official-si,"SI Table S5, PDF page 9 of 10",I- literature value 5,SI ref 13,Manual transcription from the official SI PDF; model-output column excluded.,005b38ed566ec3c09b87e1ca3a9dd6eeafc9ba75e1a30b9322291d770bb93895,,,No uncertainty is reported in SI Table S5.,later_capability_gate
figiel2025-s5-Im-lit-06,a,underlying_literature_value,single_ion_solvation_gibbs_energy,-269.5,kJ/mol,I-,water,298.15,1,ion mole-fraction limit,x_ion -> 0,x-treatment; gas at 1 bar to hypothetical dilute-ideal solution at 1 bar; negative is favorable gas-to-solution transfer,table-derived,figiel-2025-official-si,"SI Table S5, PDF page 9 of 10",I- literature value 6,SI ref 14,Manual transcription from the official SI PDF; model-output column excluded.,005b38ed566ec3c09b87e1ca3a9dd6eeafc9ba75e1a30b9322291d770bb93895,,,No uncertainty is reported in SI Table S5.,later_capability_gate
figiel2025-s5-Im-reported-average,a,reported_average_target,single_ion_solvation_gibbs_energy,-252.6,kJ/mol,I-,water,298.15,1,ion mole-fraction limit,x_ion -> 0,x-treatment; gas at 1 bar to hypothetical dilute-ideal solution at 1 bar; negative is favorable gas-to-solution transfer,table-derived,figiel-2025-official-si,"SI Table S5, PDF page 9 of 10, reported Delta G_i infinity,lit column",I- reported average,Figiel-reported average of the listed SI values; H+ uses SI ref 9 only,Transcribed as reported; retained separately and not replaced by a locally recomputed mean.,005b38ed566ec3c09b87e1ca3a9dd6eeafc9ba75e1a30b9322291d770bb93895,,,No uncertainty is reported for the SI Table S5 average.,later_capability_gate
figiel2025-s5-SO42m-lit-01,a,underlying_literature_value,single_ion_solvation_gibbs_energy,-1062.1,kJ/mol,SO4^2-,water,298.15,1,ion mole-fraction limit,x_ion -> 0,x-treatment; gas at 1 bar to hypothetical dilute-ideal solution at 1 bar; negative is favorable gas-to-solution transfer,table-derived,figiel-2025-official-si,"SI Table S5, PDF page 9 of 10",SO4^2- literature value 1,SI ref 13,Manual transcription from the official SI PDF; model-output column excluded.,005b38ed566ec3c09b87e1ca3a9dd6eeafc9ba75e1a30b9322291d770bb93895,,,No uncertainty is reported in SI Table S5.,later_capability_gate
figiel2025-s5-SO42m-reported-average,a,reported_average_target,single_ion_solvation_gibbs_energy,-1062.1,kJ/mol,SO4^2-,water,298.15,1,ion mole-fraction limit,x_ion -> 0,x-treatment; gas at 1 bar to hypothetical dilute-ideal solution at 1 bar; negative is favorable gas-to-solution transfer,table-derived,figiel-2025-official-si,"SI Table S5, PDF page 9 of 10, reported Delta G_i infinity,lit column",SO4^2- reported average,Figiel-reported average of the listed SI values; H+ uses SI ref 9 only,Transcribed as reported; retained separately and not replaced by a locally recomputed mean.,005b38ed566ec3c09b87e1ca3a9dd6eeafc9ba75e1a30b9322291d770bb93895,,,No uncertainty is reported for the SI Table S5 average.,later_capability_gate
figiel2025-s5-VO2p-lit-01,a,underlying_literature_value,single_ion_solvation_gibbs_energy,-1895.0,kJ/mol,VO^2+,water,298.15,1,ion mole-fraction limit,x_ion -> 0,x-treatment; gas at 1 bar to hypothetical dilute-ideal solution at 1 bar; negative is favorable gas-to-solution transfer,table-derived,figiel-2025-official-si,"SI Table S5, PDF page 9 of 10",VO^2+ literature value 1,SI ref 15,Manual transcription from the official SI PDF; model-output column excluded.,005b38ed566ec3c09b87e1ca3a9dd6eeafc9ba75e1a30b9322291d770bb93895,,,No uncertainty is reported in SI Table S5.,later_capability_gate
figiel2025-s5-VO2p-reported-average,a,reported_average_target,single_ion_solvation_gibbs_energy,-1895.0,kJ/mol,VO^2+,water,298.15,1,ion mole-fraction limit,x_ion -> 0,x-treatment; gas at 1 bar to hypothetical dilute-ideal solution at 1 bar; negative is favorable gas-to-solution transfer,table-derived,figiel-2025-official-si,"SI Table S5, PDF page 9 of 10, reported Delta G_i infinity,lit column",VO^2+ reported average,Figiel-reported average of the listed SI values; H+ uses SI ref 9 only,Transcribed as reported; retained separately and not replaced by a locally recomputed mean.,005b38ed566ec3c09b87e1ca3a9dd6eeafc9ba75e1a30b9322291d770bb93895,,,No uncertainty is reported for the SI Table S5 average.,later_capability_gate
